Driver,Location,Year,Team,EventDate,Team_Pace_EMA,Driver_Teammate_Gap_EMA,Driver_Consistency_EMA,Degradation_EMA
ZHO,Monaco,2022,Kick Sauber,2022-05-29,0.2867673062776951,0.9508141286104478,4.529299470566636,-0.2189740872186915
ALB,Baku,2022,Williams,2022-06-12,0.8988106902527294,-0.3652164882683953,3.635214433432455,-0.1269129006241351
ALO,Baku,2022,Alpine,2022-06-12,0.1509809753584144,0.4658123891420841,3.1367425531046,-0.1481437292895296
BOT,Baku,2022,Kick Sauber,2022-06-12,0.4489630683603602,-0.6436621205771215,3.4829737502430533,-0.1769627428345114
GAS,Baku,2022,RB,2022-06-12,0.0074048538011801,-0.0703398351237197,3.046978422268194,-0.1258298460869761
HAM,Baku,2022,Mercedes,2022-06-12,-0.6554596548554632,0.3442972218855125,3.5226504604959192,-0.0902584752465009
LAT,Baku,2022,Williams,2022-06-12,0.8988106902527294,0.3652164882683953,3.0357196757627563,-0.0693677330300027
LEC,Baku,2022,Ferrari,2022-06-12,-1.1445810910268392,-0.4039706697455095,3.0327930839443877,-0.1260153909059816
MAG,Baku,2022,Haas F1 Team,2022-06-12,3.438745381230035,0.6846736009866008,1.993076861384605,-0.1861413683355914
MSC,Baku,2022,Haas F1 Team,2022-06-12,3.438745381230035,-0.6846736009866008,2.62745450410345,-0.1533882509216128
NOR,Baku,2022,McLaren,2022-06-12,-0.0130552180240682,-0.6151481323150609,3.6508540336334137,-0.1533675773934127
OCO,Baku,2022,Alpine,2022-06-12,0.1509809753584144,-0.4658123891420841,3.4704521444704737,-0.1484057087886379
PER,Baku,2022,Red Bull Racing,2022-06-12,-1.572090984214611,0.1689792357692672,3.436748594779077,-0.1043241477910103
RIC,Baku,2022,McLaren,2022-06-12,-0.0130552180240682,0.6151481323150609,3.417096137866788,-0.1847898505578306
RUS,Baku,2022,Mercedes,2022-06-12,-0.6554596548554632,-0.3442972218855125,3.443575795421077,-0.1350230852860636
SAI,Baku,2022,Ferrari,2022-06-12,-1.1445810910268392,0.4039706697455095,2.8846116308936263,-0.0901503275447303
STR,Baku,2022,Aston Martin,2022-06-12,0.3775971160614368,0.3373856402506524,3.147398753920612,-0.143078794170267
TSU,Baku,2022,RB,2022-06-12,0.0074048538011801,0.0703398351237197,3.334608315933201,-0.0940528661670765
VER,Baku,2022,Red Bull Racing,2022-06-12,-1.572090984214611,-0.1689792357692672,3.3956338272134894,-0.1222218696615709
VET,Baku,2022,Aston Martin,2022-06-12,0.3775971160614368,-0.2898970219254789,3.3602479790926743,-0.1794690577037379
ZHO,Baku,2022,Kick Sauber,2022-06-12,0.4489630683603602,0.6436621205771215,3.103001101812532,-0.1481565921829481
ALB,Montréal,2022,Williams,2022-06-19,0.8936763734460781,-0.480158993490138,2.488220326225409,-0.0858449362969504
ALO,Montréal,2022,Alpine,2022-06-19,0.0066619860679305,0.2790162373130012,2.21470535681619,-0.0889130714701535
BOT,Montréal,2022,Kick Sauber,2022-06-19,0.3113598258289982,-0.4136077986620622,2.499672318246048,-0.1237058055851129
GAS,Montréal,2022,RB,2022-06-19,0.2007873192779834,-0.1551344671119678,2.206870080069246,-0.0711539025011568
HAM,Montréal,2022,Mercedes,2022-06-19,-0.7860931063461101,0.1621928785858531,2.4657121835622906,-0.0865011006273405
LAT,Montréal,2022,Williams,2022-06-19,0.8936763734460781,0.480158993490138,2.1626381953906346,-0.0709207244099705
LEC,Montréal,2022,Ferrari,2022-06-19,-1.0263181109060788,0.1707481882643372,2.3168572118252238,-0.1040096724579216
MAG,Montréal,2022,Haas F1 Team,2022-06-19,2.3831270581623314,0.3942541605919618,1.4726471046489835,-0.1099603940628089
MSC,Montréal,2022,Haas F1 Team,2022-06-19,2.3831270581623314,-0.3942541605919618,1.7628223065535595,-0.1072536855076986
NOR,Montréal,2022,McLaren,2022-06-19,0.1803394656626364,-0.3485309846521942,2.555568849004984,-0.0889247693354969
OCO,Montréal,2022,Alpine,2022-06-19,0.0066619860679305,-0.2790162373130012,2.3943856218152426,-0.1045744741599536
PER,Montréal,2022,Red Bull Racing,2022-06-19,-1.421656420090631,1.088070874794894,2.385583406471205,-0.2040573458174634
RIC,Montréal,2022,McLaren,2022-06-19,0.1803394656626364,0.3485309846521942,2.288295831133831,-0.119238057288328
RUS,Montréal,2022,Mercedes,2022-06-19,-0.7860931063461101,-0.1621928785858531,2.403481012519145,-0.1062439735456875
